名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
自贡职业技术学院,四川,自贡市,大安区,四川省自贡市大安区外北环路1号,"自贡职业技术学院是经四川省人民政府批准，国家教育部备案的综合类全日制普通高职院校。学校座落于“江姐故里”、“千年盐都”、“恐龙之乡”、“中国灯城”——自贡市，交通便利，环境优雅。学校占地规划750亩，分三期建设完成。其中,一期占地273亩，投资4.5亿元，建筑面积12.6万平方米，按照国家高等职业院校设置标准建有教学楼、实训中心、图书馆、学生公寓、食",否,否,,,民办,"['应急救援技术', '无人机应用技术', '新能源汽车技术', '民航运输服务', '电子信息工程技术', '计算机应用技术', '数字媒体技术', '人工智能技术应用', '婴幼儿托育服务与管理', '艺术设计']",,,
甘孜职业学院,四川,甘孜藏族自治州,泸定县,四川省甘孜藏族自治州海螺沟景区南磨大道1号,"甘孜职业学院是经四川省人民政府批准设立,教育部备案,甘孜州第一所全日制公办普通高等职业院校,填补了全省21个市州中唯一没有高等职业院校的地区空白。学院位于甘孜州泸定县燕子沟镇,规划占地600亩,规划总面积23.35万平米,预算投资12.6亿元,办学规模6000人。学院是2021年新建高职院校,从开工建设到交付使用、从办学筹备到招生开学,创造了年建设一所大学、半年筹办一所大",否,否,,,公办,"['农产品加工与质量检测', '畜牧兽医', '计算机应用技术', '护理', '大数据与会计', '电子商务', '旅游管理', '民宿管理与运营', '民族表演艺术', '民族美术']",,,
重庆工信职业学院,重庆,重庆市,长寿区,重庆市渝中去化龙桥交农村360号,重庆工信职业学院（简称“渝工信职院”）是经重庆市人民政府批准、国家教育部备案的综合类工科全日制公办普通高等院校。学院占地725亩，建筑面积26万平米，设施齐全，可容纳在校学生1万余人。有实训实验室90余间，校外实训基地40余个，纸质图书10万余册，电子图书500余万册，教学仪器设备先进、教学资源丰富。学院师资力量雄厚，副高级以上职称教师占比达60%，双师,否,否,,综合类,公办,"['智能建造技术', '药品生物技术', '高速铁路综合维修技术', '汽车检测与维修技术', '大数据技术', '会计信息管理', '动车组检修技术', '智能控制技术', '数字媒体技术', '铁道信号自动控制']",,,
北海康养职业学院,广西,北海市,银海区,广西壮族自治区北海市银海区金海岸大道666号,北海康养职业学院是一所经广西壮族自治区人民政府批准、国家教育部备案、纳入国家计划内统一招生的全日制民办高等职业院校。学校坐落在风景秀丽的国际旅游名城——北海市，紧邻4A级景区金海湾红树林生态区和有“天下第一滩”之称的国家4A级景区——北海银滩，校园及配套面积1048亩。学校对接大健康产业，重点建设临床医学、健康管理、健康教育、健康服务、远程诊,否,否,,,民办,"['护理', '中医康复技术', '口腔医学技术', '康复治疗技术', '健康大数据管理与服务', '健康管理', '婴幼儿托育服务与管理', '大数据与会计', '学前教育']",,,
广西农业工程职业技术学院,广西,崇左市,扶绥县,广西壮族自治区南宁市东盟南宁空港扶绥经济区空港大道东25号,广西农业工程职业技术学院是国家教育部备案的专科层次公办高等职业学校，是财政全额拨款的区直公益二类事业单位，由自治区人民政府举办，自治区农业农村厅建设与管理，教育教学业务接受自治区教育厅指导。于2021年3月16日经自治区人民政府同意正式设立，2021年5月10日通过了教育部专科教育高等学校备案，2021年7月9日取得事业单位法人证书。学院位于中国-东盟南宁空,否,否,,,公办,"['现代农业技术', '畜牧兽医', '水产养殖技术', '机电一体化技术', '汽车检测与维修技术', '计算机网络技术', '婴幼儿托育服务与管理', '大数据与会计', '电子商务', '烹饪工艺与营养']",,,
广西信息职业技术学院,广西,南宁市,兴宁区,广西壮族自治区南宁市步云路31号,广西信息职业技术学院为广西壮族自治区人民政府举办，广西壮族自治区教育厅主管，系专科层次公办高等职业学校。学院位于南宁市区“新CBD”—五象新区，交通便利，是莘莘学子求知学技的好地方，也是未来的青年才俊干事创业的极佳平台。校园环境崭新而优美，配套设施齐全，建有教学楼、实训室、图书馆、运动场、室内体育馆、篮球场等教学运动设施。学生宿舍为4-6,否,否,,,公办,"['导航与位置服务', '智能控制技术', '工业机器人技术', '物联网应用技术', '智能产品开发与应用', '大数据技术', '大数据与会计', '网络营销与直播电商', '数字媒体艺术设计', '室内艺术设计']",,,
防城港职业技术学院,广西,防城港市,防城区,广西壮族自治区防城港市江山半岛教育园区,防城港职业技术学院（学院代码：14762）是经广西壮族自治区人民政府批准、教育部备案设立的全日制公办高等职业院校。学院规划全日制在校生规模为10000人，2021年9月正式招生办学，计划招生1000人。学院位于防城港市江山半岛教育园区内，校园占地面积600亩（规划用地1000亩），目前已完成投资5亿多元，建筑面积11.8万平方米，校园环境优雅，生活设施完善，教学、实训设备,否,否,,,公办,"['大数据与会计', '电子商务', '金融服务与管理', '计算机应用技术', '水产养殖技术']",,,
广东肇庆航空职业学院,广东,肇庆市,端州区,广东省肇庆市高要区蚬岗镇宇浩大道10号,人杰地灵--生态办校。广东肇庆航空职业学院是经广东省人民政府批准，国家教育部备案的广东省教育厅直属全日制普通高等院校，学院代码14761，位于历史文化名城肇庆市高要区生态新城，占地306余亩，总投资20亿元，区位优势明显，环境优美，交通方便快捷，建有布局合理、功能完善的现代化校园。专业打造--科学办校。学院立足服务区域经济社会发展，坚持“前沿、交叉、,否,否,,综合类,民办,"['医学美容技术', '大数据与财务管理', '电子商务', '跨境电子商务', '航空物流管理', '艺术设计', '视觉传达设计', '展示艺术设计', '歌舞表演', '播音与主持']",,,
广东云浮中医药职业学院,广东,云浮市,新兴县,广东省云浮市新兴县教育园区,广东云浮中医药职业学院（学校代码：14760）是广东省人民政府批准、教育部备案，由云浮市人民政府主办的具有高等学历教育招生资格的一所全日制公办普通高等学校。学院坚持党的领导，全面贯彻新时代党的教育方针，落实立德树人根本任务，坚持“以人为本、德业双修、全面发展”的教育理念，培养适应中医药事业和产业高质量发展的德智体美劳全面发展的高素质技术技,否,否,,,公办,"['护理', '药学', '中药学', '中草药栽培与加工技术', '中药材生产与加工', '计算机应用技术（中医药大数据物联网方向）', '中医康复技术', '中医养生保健', '康复治疗技术']",,,
广东潮州卫生健康职业学院,广东,潮州市,湘桥区,广东省潮州市凤泉湖高新区中山大道西段北侧,"广东潮州卫生健康职业学院（简称“潮州卫职院”,院校代码：14759）是一所公办的全日制普通高等专科学校，是目前粤东地区唯一一所医药卫生类高职院校。学院位于广东省潮州市凤泉湖高新区中山大道西段北侧，占地面积约471亩，校园环境优美，总建筑面积约15万平方米，总投资约12.7亿元，教学、实训、运动及生活设施设备配套完善，师资队伍素质优良。学院坚持“立足大",否,否,,,公办,"['食品检验检测技术', '护理', '助产', '药学', '中药学', '医学检验技术', '医学影像技术', '康复治疗技术']",,,
