名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
海南健康管理职业技术学院,海南,海口市,秀英区,海南省澄迈县文化北路1号,海南健康管理职业技术学院（国标代码：14639），是海南省人民政府批准设置，教育部备案的全国第一家独立设置、社会力量举办，面向全国高考招生的健康管理类高职院校。学院位于省会海口市桂林洋大学城。这里高校聚集、文化氛围浓郁，是海口高新文化的“摇篮”。已具备全方位办学条件的学院分校位于有“世界长寿之乡”之称的澄迈。学院以海南创建国际教育创新岛为,否,否,,医药类,民办,"['健康管理', '护理', '药学', '康复治疗技术', '中医养生保健', '现代家政服务与管理', '食品检验检测技术', '云计算技术应用（数字医疗技术）']",,,
阳泉职业技术学院,山西,阳泉市,,山西省阳泉市漾泉大街9号,阳泉职业技术学院是一所集医学、工科、管理等学科为一体的综合性公办全日制普通高等职业院校。学院坐落在阳泉市生态新城，漾泉大街9号，交通便利，距阳五高速阳泉东出口不足1000米，占地面积500余亩，建筑面积14.1万平方米，总投资7.88亿元。校园建筑风格独特，以园林院落式建筑为特色，融合中式传统建筑风格与现代简约流畅建筑元素为一体，园中有院，院中有园，布,否,否,,综合类,公办,"['机电一体化技术', '计算机应用技术', '数控技术', '电子商务', '护理', '药学', '助产', '中药学', '环境监测技术', '大数据与会计']",,,
朔州师范高等专科学校,山西,朔州市,,山西省朔州市开发区长宁东街85号,学校创办于1949年3月，是山西省建校较早的师范学校。1949年11月起，先后称朔县师范、朔州师范、雁北师范学院朔州分院、山西大同大学朔州师范分校；2012年9月15日，省政府批复学校升格为朔州师范高等专科学校；2013年5月15日，教育部函复备案，正式批准在原山西大同大学朔州师范分校的基础上建立朔州师范高等专科学校。朔州师范高等专科学校属于专科层次的普通高等学校,否,否,,师范类,公办,"['艺术设计', '小学教育', '学前教育', '美术教育', '音乐教育', '体育教育', '舞蹈教育', '现代教育技术', '应用英语', '旅游管理（非师范类）']",,,
运城师范高等专科学校,山西,运城市,盐湖区,山西省运城市盐湖区文化产业园学院西路2号,我校是经山西省人民政府和国家教育部正式批准备案的公办全日制高等师范院校。学校位于运城市舜帝陵景区的大学城，与运城学院和运城护理职业学院毗邻，占地450余亩，是一所高标准、现代化的师范专科学校。作为其前身的运城师范学校和稷山师范学校，都曾是享誉河东、名扬三晋的老牌名校。一个世纪以来，为国家培养了首任驻美大使柴泽民，原国务院副秘书长郑思远,否,否,,师范类,公办,"['舞蹈教育', '艺术教育（书法方向）', '现代教育技术', '小学语文教育', '艺术设计', '音乐表演', '舞蹈表演', '音乐教育', '美术教育', '体育教育']", 文科：468.00 理科：281.00 , 文科：455.00 理科：285.00 , 文科：442.00 理科：283.00 
三亚中瑞酒店管理职业学院,海南,三亚市,海棠区,海南省三亚市海棠区湾坡路108号,三亚中瑞酒店管理职业学院是一所由海南省人民政府批准设立的全日制普通专科院校。学院位于享有“国家海岸”美誉的三亚市海棠湾，毗邻亚洲最大的单体免税城和海棠湾国际酒店带。学院紧紧围绕海南自贸港和“三区一中心”建设所急需的泛服务业人才需求，开设酒店管理、旅游管理、经济与管理三个教学系，培养符合海南自贸港建设发展亟需的泛服务业国际高端人才。,否,否,,综合类,民办,"['酒店管理与数字化运营', '西式烹饪工艺', '国际邮轮乘务管理', '烹饪工艺与营养', '旅游管理', '空中乘务', '大数据与财务管理', '大数据与会计', '人力资源管理', '工程造价']", 文科：261.00 , 文科：261.00 , 文科：321.00 
曹妃甸职业技术学院,河北,唐山市,,河北省唐山市曹妃甸新城行知路25号曹妃甸职业技术学院,曹妃甸职业技术学院(国标代码:14601)是经河北省人民政府批准，国家教育部备案的全日制普通高等职业院校，具有独立颁发国家承认学历证书资格，面向全国统一招生。学校坐落于“环渤海、环京津”核心区唐山市曹妃甸新城，校园占地600余亩，建筑面积25万平方米。校园环境优美，濒临大海（距海岸2000米），距高铁站3公里，在北京、天津一小时交通圈内，拥有“北京出海口,否,否,,综合类,民办,"['护理', '助产', '康复治疗技术', '健康管理', '医学美容技术', '移动互联应用技术', '移动应用开发', '工业机器人技术', '歌舞表演', '民族服装与饰品']",, 文科：440.00 ,
江苏护理职业学院,江苏,淮安市,清江浦区,江苏省淮安市科技大道9号,江苏护理职业学院坐落于历史文化名城、一代伟人周恩来总理的家乡——淮安，这里早在唐宋时期就有“天医星、落淮阴”美誉。学校创办于1958年，时为淮阴医专；其史可追溯至1915年美国长老会创办的淮阴仁慈医院护士学校。2014年12月，经省政府批复同意，建立江苏护理职业学院，为省属全日制公办普通高等学校。学校现在淮安，有黄河路和科技路两个校区，共占地500余亩，,否,否,,医药类,公办,"['护理', '药学', '药品生产技术', '助产', '康复治疗技术', '中医康复技术', '护理(口腔护理)(老年护理)', '中药学', '中医养生保健', '口腔医学技术']", 文科：475.00 理科：324.00 , 文科：454.00 理科：318.00 , 理科：309.00 
滇西应用技术大学,云南,大理白族自治州,大理市,云南省大理白族自治州海东新城海月街1号滇西应用技术大学,滇西应用技术大学（以下简称“滇西大”）是2015年4月经教育部批准建设的全国首批应用技术大学。2017年5月，学校经教育部批准正式建立。滇西大作为新型的普通公办本科高校，主要培养区域经济社会发展所急需的应用型高层次技术技能人才。滇西大充分借鉴德国、瑞士应用技术大学模式，采取总部加若干特色学院、应用技术研究院（1+N+M）的开放式办学构架，以及“政、产,否,否,,综合类,公办,"['茶学', '食品科学与工程', '资源循环科学与工程', '植物科学与技术', '宝石及材料工艺学', '产品设计', '休闲体育', '市场营销', '物流管理', '健康服务与管理']",,,
鄂尔多斯应用技术学院,内蒙古,鄂尔多斯市,康巴什区,内蒙古自治区鄂尔多斯市康巴什区鄂尔多斯大街东1号,鄂尔多斯应用技术学院是在内蒙古大学鄂尔多斯学院、内蒙古工业大学矿业学院、内蒙古医科大学鄂尔多斯学院等办学资源基础上组建的一所全日制普通本科院校，2015年4月28日经教育部批准正式成立，是我国地方高校转型发展过程中教育部批准成立的第一所以“应用技术”命名的本科院校。学院占地面积1149.36亩（其中康巴什校区914.04亩，东胜校区235.32亩），建筑面积26.1万平,否,否,548,理工类,公办,"['机械工程', '交通运输', '汽车服务工程', '机械工程（机务方向）', '电子信息科学与技术（电子系统与机载设备方向）', '交通运输（机场运行与管理方向）', '自动化', '电子信息科学与技术', '电气工程及其自动化', '土木工程']",,,
哈尔滨音乐学院,黑龙江,哈尔滨市,松北区,黑龙江省哈尔滨市松北区学子街3179号,哈尔滨音乐学院是黑龙江省唯一独立设置的公办本科艺术类高校，是全国独立设置的十一所专业音乐学院之一，是黑龙江省国内一流学科建设高校之一。学院依托哈尔滨对俄地缘优势及音乐文化传统，按照国际化、高水平的办学定位，明确精英式人才培养模式，确立“高位起步、精英培养、尖端打造、特色发展”的办学理念，凝练“致乐崇德”的院训，形成“攻坚克难、奋发,否,否,,艺术类,公办,"['音乐表演（美声方向）（民歌方向）（钢琴方向）（手风琴方向）（西洋管弦方向）（民族管弦方向）', '音乐学（音乐学理论方向）', '作曲与作曲技术理论（作曲方向）（合唱指挥方向）']",,,
海南体育职业技术学院,海南,海口市,琼山区,海南省海口市琼山区国兴大道68号,海南体育职业技术学院座落在美丽的热带岛屿海滨度假城市——海南省海口市。学院位于海南省政治文化中心，毗邻中共海南省委、人大和政协、海南省博物馆、海南省图书馆、海南省歌舞剧院和海南省文体公园，文化气息浓厚，周边可利用资源丰富，交通便利。学院是整合海南省高级体育运动技术学校及相关体育资源而设立的专科层次、全日制公办普通高等体育职业院校，,否,否,,体育类,公办,"['运动训练', '社会体育', '高尔夫球运动与管理', '体育保健与康复', '电子竞技运动与管理', '休闲体育']",,,
浙江音乐学院,浙江,杭州市,西湖区,浙江省杭州市西湖区转塘街道浙音路1号,浙江音乐学院是教育部于2016年3月1日批准成立的公办全日制普通高校。由浙江省人民政府举办、省文化和旅游厅主管，浙江省政府与文化和旅游部实施共建。学校坐落于杭州市西湖区之江板块，校园环境优美，设施一流。校园占地面积602亩，校舍建筑面积36万平方米。拥有大剧院1座、音乐厅3座、剧场3个、演播厅2个、排练厅104间、琴房935间、录音棚8间以及图书馆等教学辅助和,否,否,,艺术类,公办,"['音乐表演（中国乐器演奏、扬琴）', '音乐表演（西洋乐器演奏、小提琴）', '音乐表演（西洋乐器演奏、竖琴）', '音乐表演（指挥、乐队指挥）', '音乐表演', '音乐学', '舞蹈编导', '作曲与作曲技术理论', '表演', '舞蹈表演']",,,
长春健康职业学院,吉林,长春市,,吉林省长春市高新区锦河街155号,长春健康职业学院于2016年12月经吉林省人民政府批准、报教育部备案设立，是一所具有独立颁发国家高等学历证书资格的全日制普通高等学校。学校位于长春市高新大学城，占地面积12.33万㎡，建筑面积8.08万㎡，毗邻吉林大学、长春理工大学、吉林动画学院等高等学府，近百花园，风景秀丽，交通便捷，人文气息浓厚。学校设有健康医学系、健康医技系、健康饮食系、健康运,否,否,,综合类,民办,"['眼视光技术', '医学营养', '食品检验检测技术', '药品经营与管理', '大数据技术', '助产', '口腔医学技术', '健身指导与管理', '学前教育', '智能产品开发与应用']",,,
福州墨尔本理工职业学院,福建,福州市,,福建省福州市大学城闽侯县上街镇联榕路9号（闽江学院内）,福州墨尔本理工职业学院由闽江学院与澳大利亚墨尔本理工学院两所公立高校合作举办（办学许可证编号：GOV35AUA03INR20170936N），是习近平总书记在福建担任省长期间，积极推动与澳大利亚塔斯马尼亚州友好省州关系的背景下成立的，前身是闽江学院爱恩国际学院，实际已有22年中外合作办学历史。2017年1月，学校获教育部批复为具有独立法人资格的中外合作办学机构并更名为福,否,否,,综合类,中外合作办学,"['国际金融', '国际经济与贸易', '计算机应用技术', '物联网应用技术', '跨境电子商务', '休闲服务与管理', '商务英语', '葡萄酒文化与营销', '酒店管理与数字化运营', '云计算技术应用']",,,
陕西机电职业技术学院,陕西,宝鸡市,,陕西省宝鸡市宝福路56号,陕西机电职业技术学院是2015年11月经陕西省人民政府批准，2016年4月经教育部备案，由创办于1986年的国家级重点中专、首批国家改革发展示范学校——陕西省电子工业学校与陕西电子工业职工大学合并改制组建的省属全日制普通高等职业院校。三十多年来，该院充分发挥机电、制造类学科和专业优势，不断加强师资配备，形成了机电、电子、汽车、信息、加工制造等特色鲜明,否,否,,理工类,公办,"['数控技术', '铁道信号自动控制', '动漫制作技术', '城市轨道交通通信信号技术', '工业机器人技术', '汽车检测与维修技术', '智能控制技术', '新能源汽车技术', '铁道交通运营管理', '物联网应用技术']", 文科：375.00 理科：288.00 , 文科：421.00 理科：280.00 ,
庆阳职业技术学院,甘肃,庆阳市,,甘肃省庆阳市西峰区长庆大道南段,庆阳职业技术学院是2014年10月经甘肃省人民政府批准成立、2015年4月教育部备案、同年秋季开始招生的全日制普通高等职业院校。学院位于陇东国家级大型能源化工基地核心区、原陕甘边革命根据地苏维埃政府所在地甘肃省庆阳市。隶属于庆阳市人民政府，省教育厅业务指导。学院坚持党的教育方针，坚守“创办适应经济社会发展的教育，让教师德技兼修，让学生知行合一”的,否,否,,综合类,公办,"['工程造价', '市政工程技术', '建筑工程技术', '学前教育', '艺术设计', '钻井技术', '应用化工技术', '运动训练', '计算机网络技术', '物联网应用技术']",,,
阜阳幼儿师范高等专科学校,安徽,阜阳市,,安徽省阜阳市清河西路259号,阜阳幼儿师范高等专科学校是经安徽省人民政府批准设置、国家教育部备案的公办全日制普通高等专科学校。学校前身系诞生于1907年的阜阳师范传习所，1914年更名为安徽省立第三师范学校，1934年重组为安徽省立颍州师范学校，1950年学校更名为阜阳师范学校，2015年2月成功实现办学层次升格，并正式更名为阜阳幼儿师范高等专科学校。这里是阜阳师范教育的发祥地，也是皖北,否,否,,师范类,公办,"['音乐教育', '体育教育', '小学教育（综合文科）', '小学教育（综合理科）', '小学教育', '美术教育', '学前教育', '早期教育', '应用英语', '现代教育技术']", 文科：459.00 理科：297.00 , 文科：433.00 理科：301.00 , 文科：428.00 理科：295.00 
哈尔滨工业大学（深圳）,广东,深圳市,南山区,广东省深圳市南山区西丽深圳大学城哈工大深圳研究生院B栋202A室,哈尔滨工业大学深圳校区由哈工大与深圳市政府合作共建，以全日制本科生与研究生教育为主、非全日制教育为辅，是中国九校联盟（C9）成员、国家“985工程”建设高校和“双一流”建设A类高校首个在深圳市举办的本硕博培养体系齐全的高水平校区。哈工大深圳校区的前身是始建于2002年的哈工大深圳研究生院。哈尔滨工业大学始建于1920年，隶属于工业和信息化部，是一所以,是,是,,理工类,公办,"['能源与动力工程', '光电信息科学与工程', '机械设计制造及其自动化', '材料科学与工程', '计算机科学与技术', '通信工程', '土木工程', '经济学', '自动化', '环境工程']", 理科：659.00 , 理科：668.00 , 理科：644.00 
中国社会科学院大学,北京,北京市,房山区,北京市房山区长于大街11号,中国社会科学院大学（简称中国社科大)，英文名称UniversityOfChineseAcademyOfSocialSciences(UCASS)，校训“笃学、慎思、明辨、尚行”，以中国社会科学院研究生院为基础，整合中国青年政治学院本科教育及部分研究生教育资源而组建，以马克思主义为指导，坚持党的领导，坚持正确的办学方向，坚持中国特色社会主义大学的办学方针，致力培养政治可靠、作风过硬、理论深厚、学术精,否,否,,综合类,公办,"['哲学', '思想政治教育', '马克思主义理论', '汉语言文学', '历史学', '经济学', '国际经济与贸易', '政治学与行政学', '财务管理', '法学']", 理科：634.00 文科：631.00 , 理科：645.00 文科：606.00 , 文科：622.00 理科：601.00 
江西师范高等专科学校,江西,鹰潭市,,江西省鹰潭市信江新区滨江东大道1号,江西师范高等专科学校是经江西省人民政府批准、国家教育部备案设置的公办全日制普通高等专科学校。学校所在地江西省鹰潭市，是华东地区重要交通枢纽和全国优秀旅游城市，被誉为“世界铜都”“中华道都”“智慧新城”。历史沿革学校以江西师大鹰潭学院为基础创办。2001年5月经鹰潭市委常委会研究，鹰潭师范学校与鹰潭教育学院筹建处（与“江西师大鹰潭专科部”两,否,否,,师范类,公办,"['眼视光技术', '空中乘务', '计算机应用技术', '物联网应用技术', '飞机机电设备维修', '机电一体化技术', '学前教育', '美术教育', '音乐教育', '体育教育']", 文科：513.00 理科：396.00 , 文科：498.00 理科：429.00 , 理科：420.00 
江西洪州职业学院,江西,宜春市,丰城市,江西省丰城市龙津湖总部经济基地大学城,江西洪州职业学院是经江西省人民政府批准、国家教育部备案的综合性全日制普通高等职业院校，由江西省教育厅直属管理，被列为江西省“十二五”重大民生工程。学校由北京锦绣控股集团和广东理工学院联合创办，是我省唯一一所由企业和高校共建的高职院校，是全面推行订单式和现代学徒制职业教育的新型高职院校。学校位于南昌大都市区副中心城市丰城市总部经济基,否,否,,综合类,民办,"['学前教育', '电子商务', '市场营销', '社会体育', '计算机应用技术', '机电一体化技术', '工程造价', '建筑室内设计', '建筑工程技术', '电气自动化技术']",, 理科：379.00 , 理科：374.00 
深圳北理莫斯科大学,广东,深圳市,,广东省深圳市龙岗区大运新城国际大学园路1号,深圳北理莫斯科大学是国家主席习近平、俄罗斯总统普京达成重要共识，由深圳市人民政府、北京理工大学和国立莫斯科罗蒙诺索夫大学（简称“莫斯科大学”）三方合作设立的具有独立法人资格的中外合作大学。学校以建设独具特色的世界一流国际化综合性研究型大学为目标，致力于开展精英教育以及高水平科学研究和创新活动。2016年10月，学校获教育部批准正式设立。2017,否,否,,综合类,中外合作办学,"['国际经济与贸易', '俄语', '电子与计算机工程', '经济学', '生物科学', '数学与应用数学', '材料科学与工程']",,,
江西水利职业学院,江西,南昌市,青山湖区,江西省南昌市经济技术开发区北山路99号,江西水利职业学院是经江西省人民政府批准，国家教育部备案的公办全日制普通高等专科学校，隶属于江西省水利厅。学院始建于1956年（前身是江西水利电力学院），是江西唯一一所水利水电类高等职业院校。硬件条件优越学院地处“物华天宝，人杰地灵”的英雄城——南昌。占地面积708亩，毗邻江西财经大学、华东交通大学、江西理工大学等省内名校。学院校园环境优美、,否,否,,其他,公办,"['水利水电建筑工程', '给排水工程技术', '工程造价', '计算机应用技术', '电子商务', '电气自动化技术', '应用电子技术', '水利工程', '建设工程监理', '建筑工程技术']", 理科：357.00 文科：339.00 , 理科：419.00 文科：326.00 , 理科：410.00 
南昌影视传播职业学院,江西,南昌市,东湖区,江西省南昌市蒋巷大道266号,南昌影视传播职业学院是一所经江西省人民政府批准、国家教育部备案、纳入国家计划内统一招生、以影视传播类专业为主、具有独立颁发国家承认大学专科学历文凭资格的全日制普通高等职业院校，成立于2015年。学院位于环境优美的赣江之畔，南昌高新技术产业区，距离南昌市区10分钟车程。学院设有产教融合中心、创新创业中心等多个育人平台，通过“学校搭台、企业入,否,否,,艺术类,民办,"['播音与主持', '空中乘务', '电子商务', '工商企业管理', '旅游管理', '摄影摄像技术', '电子竞技运动与管理', '学前教育', '数字媒体技术', '大数据与会计']", 文科：204.00 ,, 文科：339.00 理科：299.00 
安徽公安职业学院,安徽,合肥市,,安徽省合肥市高新区望江西路559号,"安徽公安职业学院是省公安厅主管的全省唯一一所全日制公安高等院校,也是安徽省唯一一所由中央编办、人力资源和社会保障部、公安部、教育部、财政部、国家公务员局联合发文（人社部发〔2015〕106号）认定的招收公安专业学生的公安类普通高等学校。学院创建于1949年，始名为皖北、皖南公安干部学校，之后历经省公安学校、省政法干校、省人民警察学校、安徽大学公安",否,否,,政法类,公办,"['刑事侦查', '治安管理', '刑事科学技术', '网络安全与执法', '警务指挥与战术', '道路交通管理', '特警', '法律文秘', '安全防范技术', '心理咨询']",,,
澳门城市大学,澳门,离岛,嘉模堂区,澳门氹仔岛徐日昇寅公马路,澳門城市大學前身為成立於1981年的東亞大學，於2011年更為現名，並開啟了「更名、改制、轉型、升級」的發展方針。大學精煉人文、藝術、商學、金融、新工科及社會科學學科特色，堅持走都會大學的辦學道路，融入城市生活。秉持「根植澳門、融入灣區」的社會責任與辦學使命，遵循「明德、博學、尚行」的校訓精神，在粵港澳大灣區高等教育融合發展的背景下，培養澳門,否,否,,综合类,公办,"['社会学', '工商管理', '人力资源管理', '财务管理', '环境设计', '葡萄牙语', '酒店业管理课程', '服务业管理（英文学制）', '智能科技与服务', '国际商务领袖实验班']",,,
香港树仁大学,香港,香港岛,东区,香港北角宝马山慧翠道10号（宝马山校址）,20世纪70年代香港大专学位严重不足，1971年胡鸿烈博士及钟期荣博士，在跑马地成和道自资创立树仁书院，为中学毕业生提供升学机会。树仁书院于1976年正式注册为专上学院，定名树仁学院。树仁学院于2006年12月19日根据专上学院条例（第320章），获香港特区政府行政长官会同行政会议，批准正名为“香港树仁大学”（仁大），成为本港首间私立大学。仁大一直秉持校训敦仁博,否,否,,综合类,民办,[],,,
广东以色列理工学院,广东,汕头市,金平区,广东省汕头市金平区大学路241号,广东以色列理工学院（英文缩写GTIIT）是由享誉全球的知名高等学府以色列理工学院（英文缩写Technion）与汕头大学（英文缩写STU）合作办学的一所具有独立法人资格的中外合作大学，是我国目前唯一一所理工科中外合作大学，也是以色列理工学院创建的中国校区，坐落于广东省汕头市。广东以色列理工学院于2016年12月5日由中国教育部批准正式设立，2017年第一年招生，是我国,否,否,,理工类,中外合作办学,"['数学与应用数学', '化学工程与工艺', '生物技术', '机械工程', '材料科学与工程']",,,
广东生态工程职业学院,广东,广州市,,"天河校区：广东省广州市天河区广汕一路297号（地铁6号线“龙洞站”D出口）,海珠校区：广东省广州市海珠区赤沙路15号",广东生态工程职业学院是经广东省人民政府批准设立、教育部备案的一所全日制公办普通高等职业学院，其前身是创建于1953年的首批国家级重点中专广东省林业职业技术学校。2021年7月，广东生态工程职业学院与广东省海洋工程职业技术学校实施集团办学，原广东省海洋工程职业技术学校的编制、人、财、物等并入广东生态工程职业学院。至此，广东生态工程职业学院拥有了,否,否,,综合类,公办,"['林业技术', '林业信息技术应用', '农业生物技术', '森林和草原资源保护', '环境监测技术', '园林技术', '风景园林设计', '园林工程技术', '工程造价', '园艺技术']",,,
广东茂名幼儿师范专科学校,广东,茂名市,茂南区,"茂名校区：广东省茂名市西城西路6号,高州校区：广东省高州市高师路1号",广东茂名幼儿师范专科学校位于祖国南海之滨、“好心之城”、中国魅力城市——茂名。茂名是国家“一带一路”战略中“一带”的重要城市，地处粤港澳大湾区、北部湾经济区、海南自由贸易试验区三大经济圈的交汇处，地理位置优越，交通方便，风景优美、气候宜人。学校是广东省人民政府批准、教育部备案的全日制公办普通高等专科院校，是广东省第一所幼教师范高等,否,否,,师范类,公办,"['学前教育（师范）', '美术教育（师范）', '艺术设计（非师范）', '应用英语（非师范）', '导游（非师范）', '计算机应用技术（非师范）', '计算机网络技术（非师范）', '商务英语（非师范）', '旅游管理（非师范）', '体育教育（师范）']",,,
广东碧桂园职业学院,广东,清远市,,广东省清远市清城区东城街道大学东路2号,广东碧桂园职业学院由碧桂园集团董事局主席杨国强先生、联席主席杨惠妍女士建立的广东省国强公益基金会投资创办，经广东省人民政府批准、教育部备案、广东省教育厅主管的一所民办全日制普通高等学校。碧桂园集团（世界500强企业）是学院人才培养的企业校园。集团拥有1300多名博士、近20万员工、2000多名企业培训认证星级讲师、60多家五星级酒店、2000多个主体项目，,否,否,,综合类,民办,"['学前教育', '智能控制技术（智能机器人技术应用）', '建筑工程技术（建筑施工与机器人技术应用）', '建筑工程技术（装配式施工与机器人技术应用）', '建筑工程技术（建筑信息模型技术应用）', '建筑装饰工程技术（装饰施工与机器人技术应用）', '工程造价（智能建造成本管理）', '连锁经营与管理（碧优选店长培养）']",,,
广东茂名健康职业学院,广东,茂名市,茂南区,广东省茂名市电白区水东镇安乐东路1号,广东茂名健康职业学院创办于2015年3月，是经广东省人民政府批准、教育部备案的全日制公办高职院校。学院规划占地571亩，建筑总规划面积31.5万平方米。目前在校生近万名。学院现有临床医学、护理、药学、医学技术和健康管理与促进等5个系，开设临床医学、针灸推拿、中医学、护理、助产、药学、中药学、中药生产与加工、食品质量与安全、市场营销、医学营养、健康管,否,否,,医药类,公办,"['护理', '药学', '助产', '中药学', '医学检验技术', '医学美容技术', '康复治疗技术', '健康管理', '医学营养', '中医养生保健']",,,
湛江幼儿师范专科学校,广东,湛江市,麻章区,"校本部：广东省湛江市麻章区雷湖快线湛江教育基地南环路1号,廉江校区：广东省湛江市廉江市黄村街17号",湛江幼儿师范专科学校始建于1925年，前身是廉江县立师范学校（后更名为湛江市幼儿师范学校）。2016年，经广东省人民政府批准，教育部备案，具有90多年办学历史的湛江市幼儿师范学校与具有30多年大专办学历史的广东省湛江教育学院整合设立湛江幼儿师范专科学校。湛江幼儿师范专科学校作为广东省第一批幼儿师范专科学校，与岭南师范学院基础教育学院实行一校两牌办,否,否,,师范类,公办,"['音乐教育', '小学教育', '美术教育（师范）', '体育教育（师范）', '学前教育（五年制）', '音乐教育（师范）', '社会体育', '艺术教育（师范）', '小学语文教育', '小学数学教育']",,,
毕节医学高等专科学校,贵州,毕节市,,贵州省毕节市金海湖新区职教城,毕节医学高等专科学校成立于2014年3月，前身是成立于1958年的“毕节卫生学校”和成立于1978年的“毕节第二卫生学校”，至今已培养医药卫生人才4万余人。学校主校区位于毕节市金海湖新区职教城，占地507亩，一期建筑面积15万平方米，二期拟建10万平方米。2018年7月，毕节市政府将恒大集团援建的位于大方奢香古镇的“贵州恒大职业学院”交由我校接管，并改名为“毕节医学,否,否,,医药类,公办,"['临床医学', '护理', '助产', '药学', '中药学', '医学检验技术', '医学影像技术', '口腔医学技术', '眼视光技术', '康复治疗技术']",,,
贵州农业职业学院,贵州,贵阳市,清镇市,贵州省贵阳市（清镇）职教城乡愁校区黄柿路3号, 贵州农业职业学院是2015年经贵州省人民政府批准成立，国家教育部备案，由贵州省畜牧兽医学校、贵州省农业机电学校、贵州省机电学校合并组建的公办全日制普通高等学校，是贵州省唯一一所农业类高职院校。学院以立德树人为根本，以强农兴农为己任，紧紧围绕省委、省政府决策部署，积极顺应贵州区域经济和现代山地特色高效农业发展需求，努力夯实基础、提高质量,否,否,,农林类,公办,"['畜牧兽医', '动物医学', '生态农业技术', '机电一体化技术', '农村金融', '电子商务', '宠物养护与驯导', '食品药品监督管理', '园林技术', '计算机网络技术']",,,
贵州水利水电职业技术学院,贵州,贵阳市,清镇市,贵州省贵阳市清镇市职教城西区龙井路1号,贵州水利水电职业技术学院是经贵州省人民政府批准、国家教育部正式备案成立的全日制公办普通高职院校，前身为1956年创建的贵州省水利电力学校，隶属于贵州省水利厅。经过六十多年的建设发展，学院现已成为一所以高职为主、中职为辅、成人继续教育协调发展、水利水电特色鲜明的高等职业院校。学院现有在校学生1.4万余人，教职工520余人。新校区位于贵州（清镇）职,否,否,,理工类,公办,"['水利水电建筑工程', '供用电技术', '工程测量技术', '工程地质勘查', '工程造价（水利工程方向）', '电气自动化技术', '发电厂及电力系统', '建筑工程技术', '工程造价（建筑工程方向）', '电子商务']",,,
贵州应用技术职业学院,贵州,黔南布依族苗族自治州,福泉市,贵州省福泉市金山办事处金鸡山路,贵州应用技术职业学院（GuizhouVocationalInstituteOfTechnology）是经贵州省人民政府批准，教育部备案的全日制普通高等院校。学院全面贯彻党的教育方针，加强内涵建设。着力培养，“立德、立业、立应用”韦特征的高素质技术技能复合型人才。学院坐落于贵州历史文化名城福泉市洒金河畔，规划占地651亩，分南、北两个校区，环境优美、设施先进、管理规范、特色鲜明，是家长乐,否,否,,理工类,民办,"['汽车检测与维修技术', '应用化工技术', '电子商务', '市场营销', '护理', '药品生产技术', '新能源汽车技术', '高速铁路客运乘务', '空中乘务', '旅游管理']",,,
贵州工贸职业学院,贵州,毕节市,威宁彝族回族苗族自治县,贵州省毕节市威宁县滨海大道777号,贵州工贸职业学院是经贵州省人民政府批准成立、国家教育部备案的全日制新型现代化高等院校。学校秉承“学以致用，报效祖国”的校训，围绕“装备制造”、“现代商贸”、“现代服务”三大行业，设置了汽车与机械工程学院、财经学院、管理学院、艺术设计学院四大学院，共精准开设23个专业，并建设了一支高素质“双师型”具有国际化视野的师资队伍。学校位于百鸟之,否,否,,综合类,民办,"['工商企业管理', '机械设计与制造', '服装设计与工艺', '工程造价', '旅游管理', '电子商务', '室内艺术设计', '工业机器人技术', '大数据与财务管理', '大数据与会计']",,,
南通师范高等专科学校,江苏,南通市,南通经济技术开发区,江苏省南通市经济技术开发区育贤路2号,肇端于1902年张謇创办的民立通州师范学校，是中国师范教育的三大源头之一。1952年转为公立，翌年改名为江苏省南通师范学校，1958年与创办于1905年的江苏省南通女子师范学校合并，2005年4月与发端于1906年的江苏省海门师范学校合并组建南通高等师范学校，2014年1月经江苏省人民政府批准升格为南通师范高等专科学校，同年9月与创建于1902年的如皋高等师范学校合并办学。学校,否,否,,师范类,公办,"['学前教育', '电子商务', '商务英语', '商务日语', '电信服务与管理', '计算机应用技术', '计算机网络技术', '音乐表演', '体育运营与管理', '美术教育']", 文科：511.00 , 文科：494.00 理科：362.00 , 文科：487.00 理科：258.00 
铜仁幼儿师范高等专科学校,贵州,铜仁市,碧江区,贵州省铜仁市碧江区川硐街道桃源大道202号,铜仁幼儿师范高等专科学校前身是创办于1919年的原贵州省思南师范学校，曾被誉为“云贵高原上师范教育的一颗璀璨明珠”。学校九易校名，五迁校址，2012年12月升格为专科学校。升格以来，学校先后获得全国民族团结进步创建示范单位、省级优质高职院校立项建设学校、全省高校办学水平和办学条件评估合格学校、省“双高院校”立项单位、全省高校思想政治工作“优秀”,否,否,,师范类,公办,"['学前教育', '早期教育', '小学教育', '特殊教育', '旅游管理', '音乐教育', '美术教育', '舞蹈教育', '体育教育', '社会体育']", 文科：398.00 , 文科：410.00 , 文科：360.00 
